Percentage, voltage
100,58.05226
99.7863899908453,57.76176
99.48123283491,57.6114
99.1760756789747,57.4987
98.8709185230394,57.4021
98.5657613671041,57.31488
98.2606042111688,57.23452
97.9554470552334,57.1599
97.6502898992981,57.09018
97.3451327433628,57.0255
97.0399755874275,56.96572
96.7348184314922,56.91084
96.4296612755569,56.86002
96.1245041196216,56.81242
95.8193469636863,56.7672
95.514189807751,56.72338
95.2090326518157,56.6804
94.9038754958804,56.6377
94.5987183399451,56.595
94.2935611840098,56.55216
93.9884040280745,56.50904
93.6832468721392,56.46564
93.3780897162039,56.42196
93.0729325602685,56.37814
92.7677754043332,56.33376
92.4626182483979,56.2891
92.1574610924626,56.24416
91.8523039365273,56.1988
91.547146780592,56.15288
91.2419896246567,56.10668
90.9368324687214,56.06006
90.6316753127861,56.01288
90.3265181568508,55.96514
90.0213610009155,55.91698
89.7162038449802,55.86826
89.4110466890449,55.81912
89.1058895331095,55.76956
88.8007323771742,55.71958
88.4955752212389,55.66932
88.1904180653036,55.61878
87.8852609093683,55.5681
87.580103753433,55.51728
87.2749465974977,55.46632
86.9697894415624,55.41536
86.6646322856271,55.3644
86.3594751296918,55.31344
86.0543179737565,55.26248
85.7491608178212,55.2118
85.4440036618859,55.16126
85.1388465059506,55.111
84.8336893500153,55.06102
84.52853219408,55.01132
84.2233750381446,54.96204
83.9182178822093,54.9129
83.613060726274,54.86418
83.3079035703387,54.81574
83.0027464144034,54.76758
82.6975892584681,54.7197
82.3924321025328,54.67196
82.0872749465975,54.62464
81.7821177906622,54.57746
81.4769606347269,54.5307
81.1718034787916,54.48408
80.8666463228563,54.43774
80.561489166921,54.39154
80.2563320109857,54.34576
79.9511748550504,54.30026
79.6460176991151,54.25504
79.3408605431797,54.21024
79.0357033872444,54.166
78.7305462313091,54.12246
78.4253890753738,54.0799
78.1202319194385,54.03874
77.8150747635032,53.99912
77.5099176075679,53.96146
77.2047604516326,53.92618
76.8996032956973,53.8937
76.594446139762,53.86346
76.2892889838267,53.83448
75.9841318278914,53.8055
75.6789746719561,53.7754
75.3738175160208,53.7432
75.0686603600854,53.70806
74.7635032041501,53.66984
74.4583460482148,53.62826
74.1531888922795,53.58402
73.8480317363442,53.5381
73.5428745804089,53.49134
73.2377174244736,53.44416
72.9325602685383,53.39712
72.627403112603,53.35064
72.3222459566677,53.30514
72.0170888007324,53.2609
71.7119316447971,53.21834
71.4067744888618,53.1776
71.1016173329265,53.13896
70.7964601769911,53.10214
70.4913030210558,53.06658
70.1861458651205,53.03214
69.8809887091852,52.9984
69.5758315532499,52.96508
69.2706743973146,52.9319
68.9655172413793,52.89858
68.660360085444,52.86512
68.3552029295087,52.8311
68.0500457735734,52.79666
67.7448886176381,52.76166
67.4397314617028,52.72596
67.1345743057675,52.68956
66.8294171498322,52.65246
66.5242599938969,52.6148
66.2191028379616,52.57658
65.9139456820262,52.53794
65.6087885260909,52.49902
65.3036313701556,52.45996
64.9984742142203,52.42048
64.693317058285,52.381
64.3881599023497,52.34138
64.0830027464144,52.30176
63.7778455904791,52.26214
63.4726884345438,52.22238
63.1675312786085,52.18276
62.8623741226732,52.14314
62.5572169667379,52.10352
62.2520598108026,52.06404
61.9469026548673,52.0247
61.641745498932,51.98536
61.3365883429966,51.94616
61.0314311870613,51.9071
60.726274031126,51.86804
60.4211168751907,51.82926
60.1159597192554,51.79048
59.8108025633201,51.75184
59.5056454073848,51.71334
59.2004882514495,51.67484
58.8953310955142,51.63662
58.5901739395789,51.5984
58.2850167836436,51.56046
57.9798596277083,51.52252
57.674702471773,51.48458
57.3695453158377,51.44692
57.0643881599023,51.40926
56.759231003967,51.37174
56.4540738480317,51.33422
56.1489166920964,51.29684
55.8437595361611,51.2596
55.5386023802258,51.22236
55.2334452242905,51.18526
54.9282880683552,51.1483
54.6231309124199,51.11134
54.3179737564846,51.07452
54.0128166005493,51.03784
53.707659444614,51.00116
53.4025022886787,50.96462
53.0973451327434,50.92822
52.7921879768081,50.89182
52.4870308208727,50.85556
52.1818736649374,50.81944
51.8767165090021,50.78346
51.5715593530668,50.74762
51.2664021971315,50.71178
50.9612450411962,50.67622
50.6560878852609,50.6408
50.3509307293256,50.60538
50.0457735733903,50.57038
49.740616417455,50.53538
49.4354592615197,50.50066
49.1303021055844,50.46622
48.8251449496491,50.43206
48.5199877937138,50.39832
48.2148306377785,50.36486
47.9096734818432,50.33196
47.6045163259079,50.29962
47.2993591699725,50.26812
46.9942020140372,50.2376
46.6890448581019,50.20848
46.3838877021666,50.18104
46.0787305462313,50.15612
45.773573390296,50.13568
45.4684162343607,50.12546
45.1632590784254,50.13512
44.8581019224901,50.09662
44.5529447665548,50.05532
44.2477876106195,50.0164
43.9426304546842,49.98084
43.6374732987489,49.9485
43.3323161428135,49.9191
43.0271589868782,49.8918
42.7220018309429,49.8659
42.4168446750076,49.84098
42.1116875190723,49.81676
41.806530363137,49.79282
41.5013732072017,49.76902
41.1962160512664,49.74522
40.8910588953311,49.72156
40.5859017393958,49.69762
40.2807445834605,49.67368
39.9755874275252,49.6496
39.6704302715899,49.62524
39.3652731156546,49.60088
39.0601159597193,49.5761
38.7549588037839,49.55118
38.4498016478486,49.52612
38.1446444919133,49.50078
37.839487335978,49.4753
37.5343301800427,49.44968
37.2291730241074,49.42392
36.9240158681721,49.39802
36.6188587122368,49.37212
36.3137015563015,49.34622
36.0085444003662,49.32004
35.7033872444309,49.294
35.3982300884956,49.26782
35.0930729325603,49.24164
34.787915776625,49.21532
34.4827586206897,49.189
34.1776014647543,49.16282
